id,white,citizen,female,education,age,age,agebreak,income,married,children,attend,bornagain,pid7,pid3,pid2,ideology,treatname,treatment,voter,voted,voter3,voted3,votesurer,votesured,repvote,demvote,american,connected,natid,natidc,natidbin,born,citizenship,lived,english,christian,respect,feel,ancestor,exclude,exclude4,wordtreat
2281,1,1,1,2,28,28,2,7,0,1,1,1,1,1,1,4,DemPat,3,4,4,2,2,,,0,0,5,5,10,4,2,4,4,3,4,3,4,4,3,29,4,Prescriptive
2283,1,1,0,3,50,50,7,8,1,1,2,0,2,1,1,3,Control,1,1,7,1,3,0,1,0,1,5,4,9,3,2,4,4,4,4,3,3,3,2,27,3,Descriptive
2289,1,1,1,5,47,47,6,8,1,0,6,1,2,1,1,6,RepPat,2,3,5,1,3,0,1,0,1,5,3,8,2,1,4,4,3,4,4,4,4,2,29,4,Control
2294,1,1,1,5,37,37,4,10,1,1,1,0,1,1,1,1,DemPat,3,4,4,2,2,,,0,0,5,4,9,3,2,2,3,4,3,1,4,4,2,23,2,Control
2300,1,1,1,3,55,55,8,6,1,0,1,0,2,1,1,2,DemPat,3,3,5,1,3,0,1,0,1,4,3,7,1,1,4,4,3,4,1,3,3,2,24,2,Control
2302,1,1,0,3,25,25,2,1,0,0,2,0,2,1,1,1,RepPat,2,2,6,1,3,0,1,0,1,2,2,4,1,1,4,3,2,3,,3,1,1,,,Prescriptive
2304,1,1,1,2,64,64,9,7,1,0,5,1,2,1,1,2,Control,1,2,6,1,3,0,1,0,1,,,,,,,,,,,,,,,,
2307,1,1,1,4,58,58,8,10,1,0,4,1,2,1,1,4,Control,1,4,4,2,2,,,0,0,,,,,,,,,,,,,,,,
2309,1,1,0,5,68,68,10,11,0,0,1,0,1,1,1,1,Control,1,1,7,1,3,0,1,0,1,,,,,,,,,,,,,,,,
2320,1,1,1,6,64,64,9,6,0,0,1,0,1,1,1,2,Control,1,1,7,1,3,0,1,0,1,2,,,,,,,,,,,,,,,
2321,1,1,1,3,61,61,9,1,0,0,1,0,3,1,1,2,RepPat,2,1,7,1,3,0,1,0,1,5,3,8,2,1,4,4,4,4,1,2,3,2,24,2,Control
2329,1,1,0,3,20,20,1,9,0,1,2,0,5,3,2,4,RepPat,2,4,4,2,2,,,0,0,4,2,6,1,1,3,3,3,4,2,2,3,1,21,1,Descriptive
2330,1,1,0,2,55,55,8,7,0,0,1,0,5,3,2,1,RepPat,2,7,1,3,1,1,0,1,0,5,3,8,2,1,4,4,3,4,2,4,4,2,27,3,Prescriptive
2333,1,1,1,3,23,23,1,7,0,0,2,0,3,1,1,2,DemPat,3,1,7,1,3,0,1,0,1,4,4,8,2,1,3,3,3,3,,3,3,3,,,Control
2342,1,1,0,6,56,56,8,11,1,0,1,0,3,1,1,4,Control,1,4,4,2,2,,,0,0,5,4,9,3,2,3,3,3,4,1,4,3,1,22,2,Descriptive
2349,1,1,1,3,19,19,1,11,0,0,1,0,3,1,1,2,DemPat,3,1,7,1,3,0,1,0,1,3,3,6,1,1,3,4,3,4,1,3,2,2,22,2,Descriptive
2355,1,1,0,5,56,56,8,11,1,0,1,0,3,1,1,2,RepPat,2,1,7,1,3,0,1,0,1,4,4,8,2,1,3,4,1,4,1,4,4,3,24,2,Prescriptive
2357,1,1,0,4,76,76,11,7,1,0,1,0,5,3,2,5,RepPat,2,4,4,2,2,,,0,0,5,3,8,2,1,1,3,2,3,1,3,4,1,18,1,Control
2358,1,1,0,5,58,58,8,4,0,0,1,1,3,1,1,2,DemPat,3,3,5,1,3,0,1,0,1,5,4,9,3,2,3,4,3,4,3,4,4,2,27,3,Descriptive
2388,1,1,0,4,66,66,10,8,1,1,5,0,5,3,2,6,Control,1,6,2,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Prescriptive
2394,1,1,1,3,70,70,11,7,0,0,1,0,3,1,1,4,RepPat,2,2,6,1,3,0,1,0,1,4,4,8,2,1,2,3,2,4,1,4,,1,,,Control
2397,1,1,1,6,46,46,6,7,0,0,1,0,3,1,1,3,DemPat,3,5,3,3,1,1,0,1,0,4,3,7,1,1,1,4,2,3,1,4,3,1,19,1,Descriptive
2413,1,1,1,6,30,30,3,9,1,1,5,0,3,1,1,4,DemPat,3,3,5,1,3,0,1,0,1,5,4,9,3,2,3,4,3,4,3,4,4,2,27,3,Prescriptive
2423,1,1,0,2,29,29,2,7,0,1,3,0,3,1,1,4,RepPat,2,6,2,3,1,1,0,1,0,5,3,8,2,1,3,3,3,4,2,4,4,2,25,3,Prescriptive
2428,1,1,0,2,20,20,1,1,0,0,2,0,3,1,1,2,Control,1,7,1,3,1,1,0,1,0,3,1,4,1,1,2,3,4,2,,2,1,1,,,Control
2430,1,1,0,3,63,63,9,1,0,0,1,0,3,1,1,3,Control,1,6,2,3,1,1,0,1,0,4,4,8,2,1,3,3,2,3,1,3,3,2,20,1,Descriptive
2431,1,1,0,2,59,59,8,2,0,0,1,0,5,3,2,5,RepPat,2,6,2,3,1,1,0,1,0,5,4,9,3,2,4,4,4,4,2,3,4,3,28,3,Control
2435,1,1,1,2,64,64,9,6,0,0,1,0,3,1,1,4,DemPat,3,2,6,1,3,0,1,0,1,5,4,9,3,2,3,4,3,4,1,3,3,2,23,2,Prescriptive
2443,1,1,1,2,37,37,4,5,1,1,1,1,3,1,1,4,RepPat,2,4,4,2,2,,,0,0,3,3,6,1,1,2,2,2,2,2,2,2,2,16,1,Prescriptive
2452,1,1,1,5,31,31,3,3,0,0,1,0,3,1,1,2,DemPat,3,5,3,3,1,1,0,1,0,3,3,6,1,1,2,3,2,2,1,2,4,1,17,1,Descriptive
2454,1,1,0,4,52,52,7,8,0,0,2,0,5,3,2,6,RepPat,2,7,1,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Control
2456,1,1,1,6,43,43,5,9,0,0,2,0,3,1,1,4,Control,1,3,5,1,3,0,1,0,1,4,3,7,1,1,3,3,2,4,4,2,2,2,22,2,Control
2461,1,1,0,2,62,62,9,5,0,1,1,0,5,3,2,7,DemPat,3,7,1,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Descriptive
2463,1,1,1,3,43,43,5,7,1,1,5,1,3,1,1,3,DemPat,3,4,4,2,2,,,0,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Control
2464,1,1,1,4,49,49,6,5,1,0,1,1,4,2,,4,Control,1,4,4,2,2,,,0,0,5,4,9,3,2,4,4,4,4,2,4,4,2,28,3,Descriptive
2466,1,1,0,2,18,18,1,11,0,1,1,0,3,1,1,1,RepPat,2,1,7,1,3,0,1,0,1,1,2,3,1,1,1,1,1,1,1,1,2,1,9,1,Prescriptive
2467,1,1,1,3,26,26,2,5,0,1,3,0,6,3,2,3,RepPat,2,5,3,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,4,32,4,Control
2468,1,1,1,2,65,65,10,7,1,0,5,0,6,3,2,6,DemPat,3,3,5,1,3,0,1,0,1,5,4,9,3,2,3,4,2,3,4,4,4,2,26,3,Descriptive
2471,1,1,1,2,51,51,7,10,1,1,3,1,6,3,2,5,RepPat,2,7,1,3,1,1,0,1,0,5,5,10,4,2,4,4,4,4,4,4,4,3,31,4,Descriptive
2474,1,1,1,4,31,31,3,5,1,1,3,1,7,3,2,5,Control,1,7,1,3,1,1,0,1,0,5,4,9,3,2,3,4,3,4,3,4,3,3,27,3,Prescriptive
2477,1,1,1,2,53,53,7,5,1,0,1,0,4,2,,4,Control,1,3,5,1,3,0,1,0,1,5,4,9,3,2,4,4,4,4,2,3,3,2,26,3,Prescriptive
2479,1,1,0,5,65,65,10,8,1,0,4,0,3,1,1,4,RepPat,2,4,4,2,2,,,0,0,4,4,8,2,1,2,4,2,4,2,4,4,1,23,2,Descriptive
2481,1,1,0,4,32,32,3,8,0,1,2,0,6,3,2,4,DemPat,3,5,3,3,1,1,0,1,0,3,4,7,1,1,2,3,1,3,4,1,3,1,18,1,Prescriptive
2482,1,1,1,5,25,25,2,3,0,0,5,0,1,1,1,1,Control,1,1,7,1,3,0,1,0,1,4,4,8,2,1,2,3,1,3,1,3,1,1,15,1,Control
2484,1,1,1,2,44,44,5,1,1,0,1,0,1,1,1,2,DemPat,3,1,7,1,3,0,1,0,1,4,2,6,1,1,3,3,3,3,4,3,2,1,22,2,Descriptive
2485,1,1,0,2,18,18,1,6,0,0,2,1,5,3,2,4,RepPat,2,5,3,3,1,1,0,1,0,4,3,7,1,1,4,4,4,4,2,3,3,3,27,3,Control
2486,1,1,1,3,18,18,1,6,0,1,1,0,3,1,1,1,RepPat,2,1,7,1,3,0,1,0,1,2,1,3,1,1,1,2,1,1,1,1,1,1,9,1,Prescriptive
